pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR OCT 2024 FOR FF/EMT ANDREW B PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment to a deceased firefighter's estate, which is a pass-through disbursement rather than a procure"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR OCT 2024 FOR FF/EMT TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit disbursement to an employee or beneficiary, not a procurement of goods or services; it qualifies as pa"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR OCTOBER 2023 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit disbursement to a deceased employee's beneficiary, which is a pass-through funding obligation rather t"
Professional Design Engineering Services for Landscape Beautification and Installation Supervision,exact,"Landscaping, Grounds & Irrigation",906,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Design and installation supervision for landscape beautification directly matches the NIGP 906 code for landscape system"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2024 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a deceased employee's estate, which is a pass-through funding obligation rathe"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2024 FOR FF TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit payment to a firefighter's beneficiary, which is a pass-through disbursement from c"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2024 FOR FF/EMT RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment to a firefighter/EMT, which is a pass-through disbursement rather than a procurement of"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2024 FOR LT/EMT KEVIN P WARD,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment to a deceased employee's beneficiaries, which constitutes a pass-through funding disbur"
Professional event services for BWTT Financial Empowerment weekend balance of contract due,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Balance of contract payment for a third-party financial empowerment program indicates a subgrant or pass-through funding"
Programming - Visitor Experience / 50% payment for Neighborhood Cultural Spotlight Year 4,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a 50% payment toward a multi-year cultural programming grant, representing pass-through funding to support neigh"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR SEP 2024 FOR FF/EMT ANDREW B PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment disbursement to a beneficiary following a line-of-duty death, not a procurement of good"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR SEP 2024 FOR FF/EMT JASON P. RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payment is a subgrant disbursement to a beneficiary, not a procurement of goods or services."
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR SEP 2024 FOR FF/EMT TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment (line-of-duty death) to a family member, which is a pass-through disbursement not a procuremen"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR SEP 2024 FOR FF/EMT ROBERT MILOSTRAZICH,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit disbursement payment to a beneficiary following an employee death, which constitutes a pass-through fu"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR SEPTEMBER 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit payment, which is a pass-through disbursement/benefit payment to beneficiaries rath"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR SEPTEMBER 2023 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment (line of duty death benefit) disbursed to a beneficiary, which is a pass-through funding oblig"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment, which is a pass-through benefit disbursement to a beneficiary rather than a procurement"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR SEPTEMBER 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a deceased firefighter's beneficiary, which is a pass-through funding obligati"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit payment to a firefighter's beneficiary, which is a mandatory pass-through disbursem"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2024 FOR ANDREW B PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to an individual, which is a pass-through funding obligation rather than a procur"
Programming / Backline equipment rental - Taste of Chicago (Marquette Park),exact,Equipment Rental & Leasing,972,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Taste of Chicago event equipment rental directly matches NIGP 972 (Taste of Chicago Food Service Equipment Rental), with"
Programming / Balance: Dance instruction (line dance & house) for Taste of Chicago Grant Park (9/8/24),exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a grant-funded service for Taste of Chicago event; the Grants & Pass-Through Funding category applies to disburs"
Programming - Grants Terra Research,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a grant disbursement for Terra Research programming, which is a subgrant pass-through funding arrangement."
"Programming / Deposit Payment to Maria Matias Music Inc., talent agency for Kenny Garrett and Sounds from the Ancestors, for their performance at the 2024 Chicago Jazz Festival.",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct payment to a talent agency for contracted performers at a city-sponsored event, functioning as a grant "
Programming / Full Payment to Asian Improv Arts Midwest for providing the Jeff Chan Ensemble at the 2024 Chicago Jazz Festival.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a payment to an arts organization for performance services at a city-sponsored festival, which is a cultural sub"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JULY 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit disbursement payment to beneficiaries, which is pass-through funding from the city rather than a"
"Programming / Catering final balance - Taste of Chicago, September 6-8, 2024",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a final balance payment for catering services at a city event (Taste of Chicago), representing a pass-through or"
Programming / Chicago Gospel Music Festival Fee,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a fee payment to support an external cultural event (Chicago Gospel Music Festival), consistent with subgrant di"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JULY 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payments are pass-through financial disbursements from the city to beneficiaries, not procure"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JULY 2024 FOR FF/EMT JASON P. RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payment is a subgrant/pass-through disbursement to a beneficiary, not a procurement of goods "
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JULY 2024 FOR FF/EMT ANDREW B PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payment is a direct disbursement/grant passthrough to beneficiary, not a procurement of goods"
Programming / Full payment to Barragoon dba Barragoon Productions LLC for his performance at Taste of Chicago - Grant Park,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a full payment disbursement to a performance contractor for a specific event, functioning as a pass-through or g"
"Programming / Deposit: Taste of Chicago Main stage: Mid Opener for Saturday Sept 7th, 2024 6-7pm.",exact,Equipment Rental & Leasing,972,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a performance/entertainment service for Taste of Chicago using the main stage, which directly matches NIGP class  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR NOV 2024 FOR FF/EMT ANDREW B PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment to a firefighter's estate, which is a pass-through benefit disbursement rather than a pr"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAY 2025 FOR FF/EMT ROBERT MILOSTRAZICH,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line of duty death benefit payment to a firefighter's family, which is a pass-through benefit disbursement, no"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR NOV 2024 FOR FF/EMT TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit payment to a firefighter's family, which is a pass-through benefit disbursement, no"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR NOV 2024 FOR FF/EMT ROBERT MILOSTRAZICH,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment disbursement to a beneficiary, which is a pass-through benefit obligation rather than a "
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR NOV 2024 FOR FF/EMT JASON P. RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a firefighter family, which is a pass-through funding obligation rather than a"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR NOVEMBER 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a firefighter's beneficiary, which is a pass-through funding obligation rather"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR NOVEMBER 2023 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to an employee (or beneficiary) for line-of-duty death, which is a pass-through f"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR NOVEMBER 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payment is a direct disbursement to a beneficiary, qualifying as pass-through funding requiri"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JULY 2023 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment to an individual (line of duty death benefit), which constitutes a pass-through or gran"
Programming / Full payment to Emcee Taste of Chicago Pullman.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Full payment disbursement to an external event organizer (Taste of Chicago) for programming services indicates a grant o"
Programming / Full payment to Heavy Crownz LLC for his performance at Taste of Chicago - Grant Park,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Full payment disbursement for contracted entertainment services at Taste of Chicago event, which is pass-through funding"
Programming / Full payment to Midwest Young Artists Conservatory for their performance at the 2024 Chicago Jazz Festival.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a payment to an external organization for a cultural performance event, which constitutes grant or pass-through "
"Programming- CCC open house half payment deposit on December 09, 2023.",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment for an event (open house), which represents a pass-through or subgrant type disbursement rathe"
Programming / Taste of Chicago Main Stage: opening act from 5-5:45pm for Friday September 6th.,exact,Equipment Rental & Leasing,855,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a rental of a mobile stage venue for the Taste of Chicago event, directly matching NIGP 855 (RENTAL OF MOBILE ST"
Programming- Waste Hauling for 2023 Taste of Chicago.,exact,"Janitorial, Sanitation & Waste",968,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Waste hauling service for Taste of Chicago event matches disposal services with dumpster service category."
Programming- Studio Instrument rentals for the Taste of Chicago.,exact,Equipment Rental & Leasing,972,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): NIGP 972 explicitly covers 'TASTE OF CHICAGO FOOD SERVICE EQUIPMENT RENTAL' and includes rental of food service equipmen"
Programming/ 2024 Chicago Gospel Music Festival Deposit,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit/payment for a city-sponsored cultural event (Gospel Music Festival), representing city funding disburs"
Programming- Studio Instrument rental for the Taste of Chicago 2023.,exact,Equipment Rental & Leasing,972,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Studio instrument rental for Taste of Chicago event matches the rental of equipment for this specific festival, with NIG"
Programming/ 2024 Chicago Gospel Music Festival Payment,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct payment/subsidy to support the Chicago Gospel Music Festival event, fitting the definition of pass-thro"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUGUST 2023 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment (subgrant disbursement) to a deceased firefighter's beneficiary, not a procurement of goods or"
Programming / Under the Dome Video Captioning (2) from April 2024 concerts,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Video captioning service for concerts is audiovisual system maintenance and repair, matching NIGP 939 (Maintenance, Test"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUGUST 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit disbursement to a deceased firefighter's beneficiary, constituting a pass-through funding obligation r"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR DEC 2024 FOR FF/EMT ROBERT MILOSTRAZICH,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment from the city to a firefighter's beneficiary, which is a mandatory pass-through funding "
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR DEC 2024 FOR FF/EMT TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line of duty death benefit payment to a firefighter's beneficiary, which is a pass-through benefit disbursemen"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUGUST 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line of duty death benefit payment, which is a pass-through or grant-type disbursement rather than a procureme"
Programming- NCS Final payment for Cohort 3 involvement.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a final payment disbursement for a program cohort, indicating a pass-through grant or subgrant distribution rath"
Programming/ Balance Payment to Castro Coleman aka Mr. Sipp for his performance at the 2024 Chicago Blues Festival.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct payment to a performer for services rendered at a city-sponsored event, constituting a pass-through or "
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JULY 2024 FOR FF/EMT KEVIN P. WARD,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment to a beneficiary, which is a pass-through disbursement from the city and does not repres"
Programming- Food truck meal ticket reimbursement for the Global peace picnic.,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct reimbursement/disbursement for food service costs at a city event, not a procurement of goods or servic"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JULY 2024 FOR FF/EMT TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment to an employee's beneficiary following a duty-related death, qualifying as pass-through"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JUNE 2024 FOR FF/EMT LARA ANNE PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit disbursement to a beneficiary, which is a pass-through funding payment rather than a procurement"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JUNE 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment to a beneficiary, representing pass-through funding from CFD rather than a procurement o"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JUNE 2024 FOR FF/EMT TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a beneficiary payment from a line-of-duty death benefit program, which is pass-through funding disbursement rath"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JUNE 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment to a firefighter's beneficiary following a line-of-duty death, which is a pass-through "
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JUNE 2024 FOR FF/EMTJASON P. RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit payment, which is a direct disbursement/pass-through funding to a beneficiary rathe"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR MAR 2025 FOR FF/EMT ROBERT MILOSTRAZICH,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payment is a pass-through benefit disbursement, not a procurement of goods or services."
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR JUNE 2024 FOR FF/EMTKEVIN P. WARD,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment to a beneficiary, representing a mandatory pass-through of funds under a city benefit pr"
Programming/ Balance Payment to Vanessa Collier for her performance at the 2024 Chicago Blues Festival,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a straightforward payment to a performer for services rendered at a city event, which constitutes a pass-through"
Programming/ Deposit Payment for Blues Festival,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Deposit payment for Blues Festival is a subgrant/pass-through funding disbursement to support an external event."
Programming/ Deposit Payment for a performance at the 2024 Chicago Blues Festival,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment to a performer for a cultural event, functioning as a pass-through disbursement for festival p"
"Programming/ Deposit Payment to Eye for Talent Inc for Canzoniere Grecanico Salentino, for their performance at World Music Festival Chicago 2024.",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a performance fee/deposit payment to an external talent agency for a contracted performer at a city festival, wh"
Programming/ Chicago Jazz Festival Deposit Payment,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment for programming costs associated with the Chicago Jazz Festival, which represents a subgrant o"
Programming/ Deposit - Ramova Theatre Rental,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment to a theatre rental vendor, representing a pass-through funding commitment rather than a direc"
Programming/ Deposit Payment - Roosevelt Purifoy - Otis Spann Tribute,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a tribute/programming payment disbursement to an individual, consistent with pass-through grant funding rather t"
Programming/ Deposit Payment - Vanessa Collier,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Description indicates a deposit payment to an individual (Vanessa Collier), consistent with subgrant disbursement or pas"
Programming/ Deposit Payment - Ustad Noor Bakhsh (Eye for Talent inc.) World Music Festival Chicago 2024,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit/payment to a vendor (Eye for Talent Inc.) for programming services related to a city festival event, r"
"Programming/ Deposit payment to Folklore Inc dba FLi Artists, Talent agency for Ana Crisman, for her performance at World Music Festival Chicago 2024.",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a subgrant disbursement payment to a talent agency for a performer, not a procurement of goods or services for C"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR DECEMBER 2023 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payment is a pass-through disbursement to beneficiaries, not a procurement of goods or servic"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR DECEMBER 2023 FOR FF/EMT RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a beneficiary for a deceased firefighter, which is a pass-through funding obli"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR DECEMBER 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to an individual, qualifying as pass-through funding rather than a procurement of"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR DECEMBER 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment/disbursement to a beneficiary, which constitutes pass-through funding rather than a proc"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2023 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment to a firefighter's family, which is a pass-through benefit disbursement rather than a pr"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APR 2025 FOR FF/EMT ROBERT MILOSTRAZICH,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit disbursement to a deceased firefighter's beneficiary, which is a pass-through benef"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2023 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line of duty death benefit payment to an individual, which is a pass-through disbursement not a commodity or s"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2024 FOR ANDREW B PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment to a firefighter's family, a pass-through disbursement rather than procurement of goods"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2024 FOR FF JERMAINE PELT,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a deceased firefighter's estate, which is a pass-through funding obligation ra"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2024 FOR ENGINEER ROBERT TAYLOR,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): A benefit payment is a pass-through disbursement to a specific beneficiary and not a procurement of goods or services."
"Programming/ MP Summer Music Series-Yaya Bey-Ground Control Touring, Inc. DEPOSIT PAYMENT",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a deposit payment for a contracted music performance/touring service, which represents pass-through funding allo"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2024 FOR FF TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit payment is a pass-through grant disbursement to a beneficiary, not a procurement of goods or "
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2024 FOR LT/EMT KEVIN P WARD,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit payment, which is a statutory disbursement to beneficiaries rather than a procureme"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUG 2024 FOR FF/EMT ANDREW B PRICE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a line-of-duty death benefit payment to the family of a deceased firefighter/EMT, which is a pass-through grant "
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR APRIL 2024 FOR JAN TCHORYK,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a death benefit payment disbursement to a beneficiary, which qualifies as pass-through funding rather than a pro"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUG 2024 FOR FF/EMT JASON P. RAMIREZ,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Line of duty death benefit is a pass-through payment/disbursement to beneficiaries of a deceased firefighter, not a proc"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUG 2024 FOR FF/EMT ROBERT MILOSTRAZICH,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a direct benefit payment to a firefighter/EMT, constituting a pass-through funding disbursement rather than a pr"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUG 2024 FOR FF/EMT TIMOTHY GRIFFIN,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a firefighter/EMT, which is a pass-through funding obligation rather than a pr"
CFD LINE OF DUTY DEATH BENEFIT PAYMENT FOR AUG 2024 FOR FF/EMT KEVIN P. WARD,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): This is a benefit payment disbursement to a beneficiary, not a procurement of goods or services, qualifying as pass-thro"
Programming/Blues Fest program book 2024,exact,"Office, Print & Marketing",801,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=1): Program book printing is a printed promotional/marketing item, matching NIGP 801 (Signs and Posters, Banners - Printing)"
